id,publish_date,day,slot,channel,author,pillar,format,allocation,title_or_hook,related_blog,status,utm_content,bet,voice_check
202609-blog-04,TBC,Thu,-,blog,Jenton Hollingum,point-of-view,article,proven,Every large show has a moment,,DRAFT,202609-blog-04,,
202609-work-01,NEVER,-,-,internal,,proof,case-study,-,T2RL — INTERNAL ONLY do not publish,,DO-NOT-PUBLISH,-,,
202609-lid-05,NEVER,-,-,internal,Jenton Hollingum,proof,text,-,T2RL director post — INTERNAL ONLY do not publish,,DO-NOT-PUBLISH,-,,
202609-blog-03,TBC,Thu,-,blog,Jenton Hollingum,answers,article,proven,Why we ask for a rough schedule before we can price anything,,DRAFT,202609-blog-03,,
202609-lid-04,ASAP,Tue,-,linkedin-director,Jenton Hollingum,answers,text,proven,The most expensive thing on a quote is time not kit,202609-blog-03,ready,202609-lid-04,,
202609-blog-02,TBC,Thu,-,blog,Jenton Hollingum,point-of-view,article,bet,How do you like to be told there's a problem?,,DRAFT,202609-blog-02,,
202609-lid-02,ASAP,Tue,-,linkedin-director,Jenton Hollingum,point-of-view,text,bet,Something will go wrong. Not might. Will.,202609-blog-02,ready,202609-lid-02,,
202609-lid-03,TBC,Tue,-,linkedin-director,Jenton Hollingum,point-of-view,text,bet,A CEO once told us he didn't want a countdown timer,,NEEDS-EXAMPLES,202609-lid-03,,
202608-blog-01,TBC-site-launch,Thu,-,blog,,point-of-view,article,bet,Why we don't book crew from a list,,APPROVED-HELD,202608-blog-01,,pass
202608-li-01,TBC-site-launch,Thu,A,linkedin-company,,point-of-view,text,bet,Three people same show all fine on paper,202608-blog-01,held,202608-li-01,,pass
202608-lid-01,ASAP,Tue,-,linkedin-director,Jenton Hollingum,point-of-view,text,bet,Every person qualified and it was still a mess,,PUBLISH-NOW,202608-lid-01,,pass
202608-ig-01,ASAP,Fri,C,instagram,,point-of-view,carousel,bet,Three people same show,,PUBLISH-NOW,202608-ig-01,,pass
202608-fb-01,TBC-site-launch,Thu,A,facebook,,point-of-view,text,bet,Hiring crew like a search filter,202608-blog-01,held,202608-fb-01,,pass
202603-blog-01,,Thu,-,blog,,answers,article,proven,,,planned,202603-blog-01,,
202603-li-01,,Thu,A,linkedin-company,,answers,text,proven,,202603-blog-01,planned,202603-li-01,,
202603-fb-01,,Thu,A,facebook,,answers,text,proven,,202603-blog-01,planned,202603-fb-01,,
202603-ig-01,,Thu,A,instagram,,answers,carousel,proven,,202603-blog-01,planned,202603-ig-01,,
202603-li-02,,Tue,B,linkedin-company,,point-of-view,text,proven,,,planned,202603-li-02,,
202603-lid-01,,Mon,-,linkedin-director,Director A,point-of-view,text,proven,,,planned,202603-lid-01,,
202603-lid-02,,Wed,-,linkedin-director,Director A,answers,text,iteration,,,planned,202603-lid-02,,
202603-lid-03,,Thu,-,linkedin-director,Director B,proof,text,proven,,,planned,202603-lid-03,,
202603-ig-02,,Fri,C,instagram,,people,reel,bet,,,planned,202603-ig-02,,
